1226b2,2024-10-01 14:17:54,OPEN,fup,,
6f289e,2024-10-01 14:18:04,SELF,fup,tres,1
b23c22,2024-10-01 14:18:04,SELF,fup,tres,10
202192,2024-10-01 14:18:05,SELF,fup,resto,1
a16f18,2024-10-01 14:18:06,SELF,fup,resto,10
f9d600,2024-10-01 14:18:07,QUIT,fup,,
356653,2024-10-01 14:18:15,OPEN,fup,,
1c5bd3,2024-10-01 14:18:17,SELF,fup,media,1
275dc6,2024-10-01 14:18:17,SELF,fup,media,10
67157c,2024-10-01 14:18:19,SELF,fup,sobrou,1
b54ea2,2024-10-01 14:18:19,SELF,fup,sobrou,10
09763c,2024-10-01 14:18:22,SELF,fup,segundos,1
645137,2024-10-01 14:18:22,SELF,fup,segundos,10
5b76cd,2024-10-01 14:18:24,SELF,fup,pintando,1
d015b8,2024-10-01 14:18:24,SELF,fup,pintando,10
b81b80,2024-10-01 14:18:25,SELF,fup,celsius,1
064003,2024-10-01 14:18:25,SELF,fup,celsius,10
512220,2024-10-01 14:18:33,SELF,fup,bala,1
c061f2,2024-10-01 14:18:33,SELF,fup,bala,10
1dd67a,2024-10-01 14:19:52,DOWN,fup,tres,
739949,2024-10-01 14:19:55,DOWN,fup,resto,
37930a,2024-10-01 14:19:57,DOWN,fup,media,
f23f3c,2024-10-01 14:19:58,DOWN,fup,sobrou,
0aa311,2024-10-01 14:20:00,DOWN,fup,segundos,
934f43,2024-10-01 14:20:03,DOWN,fup,celsius,
844557,2024-10-01 14:20:04,DOWN,fup,pintando,
90c09f,2024-10-01 14:20:06,DOWN,fup,bala,
0fe09b,2024-10-01 14:22:19,TEST,fup,tres,100%
b1f5a7,2024-10-01 14:26:34,DOWN,fup,abs,
8db0f6,2024-10-01 14:26:42,TEST,fup,abs,100%
71817c,2024-10-01 14:26:43,SELF,fup,abs,1
efe637,2024-10-01 14:26:43,SELF,fup,abs,10
18aaaa,2024-10-01 14:27:29,DOWN,fup,max,
cbdcd6,2024-10-01 14:27:38,TEST,fup,max,100%
0fd794,2024-10-01 14:27:39,SELF,fup,max,1
cf0d2e,2024-10-01 14:27:39,SELF,fup,max,0
895991,2024-10-01 14:27:41,SELF,fup,max,1
a8e26a,2024-10-01 14:27:42,SELF,fup,max,10
cc0333,2024-10-01 14:27:51,DOWN,fup,ou,
91643a,2024-10-01 14:27:52,DOWN,fup,positivo,
87c621,2024-10-01 14:27:53,DOWN,fup,multiplo,
2f8e85,2024-10-01 14:27:54,DOWN,fup,nulo,
2b4fe0,2024-10-01 14:27:56,DOWN,fup,calculadora,
daa7c5,2024-10-01 14:27:57,DOWN,fup,guarda,
c6f420,2024-10-01 14:27:58,DOWN,fup,quantos,
fc019a,2024-10-01 14:27:59,DOWN,fup,impar,
